dir,num1,lat,lon,num2
S,03F-121.5S,24.655964,120.838242,03F1215S
S,03F-125.7S,24.627161,120.814006,03F1257S
S,03F-133.2S,24.579642,120.764417,03F1332S
S,03F-139.5S,24.531125,120.733253,03F1395S
S,03F-148.5S,24.467308,120.681217,03F1485S
S,03F-163.3S,24.341119,120.651567,03F1633S
S,03F-165.1S,24.334719,120.635578,03F1651S
S,03F-171.0S,24.292881,120.601964,03F1710S
S,03F-173.9S,24.269464,120.590806,03F1739S
S,03F-177.9S,24.234647,120.593306,03F1779S
S,03F-186.0S,24.177831,120.548244,03F1860S
S,03F-194.4S,24.119011,120.536692,03F1944S
S,03F-199.1S,24.102808,120.577661,03F1991S
S,03F-206.6S,24.070333,120.639711,03F2066S
S,03F-207.9S,24.067778,120.652361,03F2079S
S,03F-210.0S,24.060653,120.670964,03F2100S
S,03F-212.9S,24.037392,120.675775,03F2129S
S,03F-215.2S,24.019992,120.663222,03F2152S
S,03F-219.4S,23.985844,120.652714,03F2194S
S,03F-223.5S,23.955503,120.661267,03F2235S
S,03F-226.1S,23.9376,120.677039,03F2261S
S,03F-230.6S,23.906781,120.702828,03F2306S
S,03F-233.6S,23.882031,120.709186,03F2336S
S,03F-241.5S,23.814836,120.700003,03F2415S
S,03F-244.7S,23.787486,120.704519,03F2447S
S,03F-253.5S,23.775581,120.6259,03F2535S
S,03F-261.4S,23.724425,120.601786,03F2614S
S,03F-270.9S,23.649142,120.57295,03F2709S
S,03F-274.7S,23.618203,120.558567,03F2747S
S,03F-277.7S,23.606792,120.532511,03F2777S
S,03F-284.0S,23.558125,120.505061,03F2840S
S,03F-289.9S,23.511683,120.486328,03F2899S
S,03F-292.3S,23.492078,120.494586,03F2923S
S,03F-298.5S,23.442486,120.4812,03F2985S
S,03F-310.1S,23.361253,120.436356,03F3101S
S,03F-318.7S,23.296692,120.404164,03F3187S
S,03F-321.1S,23.279281,120.390253,03F3211S
S,03F-325.9S,23.244994,120.367378,03F3259S
S,03F-330.7S,23.203275,120.355461,03F3307S
S,03F-339.2S,23.132064,120.333711,03F3392S
S,03F-344.5S,23.085272,120.329033,03F3445S
S,03F-349.6S,23.040203,120.325172,03F3496S
S,03F-358.8S,22.969758,120.340164,03F3588S
S,03F-367.0S,22.901969,120.354767,03F3670S
S,03F-374.3S,22.845122,120.385428,03F3743S
S,03F-385.4S,22.769197,120.441839,03F3854S
S,03F-391.6S,22.749792,120.496839,03F3916S
S,03F-401.8S,22.682775,120.563086,03F4018S
S,03F-414.2S,22.579586,120.526161,03F4142S
S,03F-416.8S,22.557186,120.524558,03F4168S
S,03F-423.2S,22.501367,120.525775,03F4232S
S,03F-426.3S,22.474661,120.530844,03F4263S
N,03F-002.1N,25.129514,121.698631,03F0021N
N,03F-005.4N,25.103747,121.681789,03F0054N
N,03F-011.6N,25.065611,121.643467,03F0116N
N,03F-014.0N,25.050319,121.628156,03F0140N
N,03F-015.0N,25.042389,121.624789,03F0150N
N,03F-020.1N,25.007375,121.596381,03F0201N
N,03F-021.7N,24.993744,121.593367,03F0217N
N,03F-030.1N,24.96255,121.530572,03F0301N
N,03F-033.8N,24.978586,121.501744,03F0338N
N,03F-039.4N,24.975247,121.454925,03F0394N
N,03F-044.7N,24.950503,121.412681,03F0447N
N,03F-049.8N,24.943825,121.365275,03F0498N
N,03F-052.5N,24.936025,121.3419,03F0525N
N,03F-055.9N,24.930225,121.312458,03F0559N
N,03F-064.8N,24.878792,121.250839,03F0648N
N,03F-069.8N,24.856558,121.208581,03F0698N
N,03F-078.3N,24.797339,121.179128,03F0783N
N,03F-084.6N,24.791439,121.125997,03F0846N
N,03F-096.1N,24.758442,121.030425,03F0961N
N,03F-099.6N,24.755811,120.997269,03F0996N
N,03F-102.2N,24.757914,120.972267,03F1022N
N,03F-105.1N,24.753094,120.945675,03F1051N
N,03F-112.8N,24.711383,120.889639,03F1128N
N,03F-116.1N,24.698006,120.860086,03F1161N
N,03F-121.5N,24.655964,120.838242,03F1215N
N,03F-125.7N,24.627161,120.814006,03F1257N
N,03F-133.2N,24.579642,120.764417,03F1332N
N,03F-139.5N,24.531125,120.733253,03F1395N
N,03F-148.5N,24.467308,120.681217,03F1485N
N,03F-163.3N,24.341119,120.651567,03F1633N
N,03F-165.1N,24.334719,120.635578,03F1651N
N,03F-171.0N,24.292881,120.601964,03F1710N
N,03F-173.9N,24.269464,120.590806,03F1739N
N,03F-177.9N,24.234647,120.593306,03F1779N
N,03F-186.0N,24.177831,120.548244,03F1860N
N,03F-194.1N,24.120947,120.534547,03F1941N
N,03F-199.2N,24.102525,120.578747,03F1992N
N,03F-206.6N,24.070333,120.639711,03F2066N
N,03F-207.8N,24.067958,120.651433,03F2078N
N,03F-210.0N,24.060428,120.671533,03F2100N
N,03F-212.5N,24.040994,120.677853,03F2125N
N,03F-215.3N,24.01894444,120.6631611,03F2153N
N,03F-219.4N,23.985844,120.652714,03F2194N
N,03F-223.1N,23.957103,120.657614,03F2231N
N,03F-226.0N,23.937928,120.676853,03F2260N
N,03F-230.6N,23.906781,120.702828,03F2306N
N,03F-233.6N,23.882031,120.709186,03F2336N
N,03F-241.5N,23.814836,120.700003,03F2415N
N,03F-244.7N,23.787486,120.704519,03F2447N
N,03F-253.5N,23.775581,120.6259,03F2535N
N,03F-261.4N,23.724425,120.601786,03F2614N
N,03F-270.9N,23.64927778,120.5729111,03F2709N
N,03F-274.7N,23.618203,120.558567,03F2747N
N,03F-277.7N,23.606792,120.532511,03F2777N
N,03F-284.0N,23.558125,120.505061,03F2840N
N,03F-289.9N,23.511683,120.486328,03F2899N
N,03F-292.3N,23.492078,120.494586,03F2923N
N,03F-298.5N,23.442486,120.4812,03F2985N
N,03F-310.1N,23.361253,120.436356,03F3101N
N,03F-318.7N,23.296692,120.404164,03F3187N
N,03F-321.1N,23.279281,120.390253,03F3211N
N,03F-325.9N,23.244994,120.367378,03F3259N
N,03F-330.7N,23.203275,120.355461,03F3307N
N,03F-339.2N,23.132064,120.333711,03F3392N
N,03F-344.5N,23.085272,120.329033,03F3445N
N,03F-349.6N,23.040203,120.325172,03F3496N
N,03F-358.8N,22.969758,120.340164,03F3588N
N,03F-367.0N,22.901969,120.354767,03F3670N
N,03F-374.3N,22.845122,120.385428,03F3743N
N,03F-385.4N,22.769197,120.441839,03F3854N
N,03F-391.6N,22.749792,120.496839,03F3916N
N,03F-402.1N,22.680347,120.563311,03F4021N
N,03F-414.2N,22.579586,120.526161,03F4142N
N,03F-416.8N,22.557408,120.524761,03F4168N
N,03F-423.2N,22.501367,120.525775,03F4232N
N,03F-425.9N,22.477464,120.531386,03F4259N
S,03A-001.5S,25.012144,121.562128,03A0015S
S,03A-004.1S,25.003864,121.586039,03A0041S
N,03A-001.5N,25.012144,121.562128,03A0015N
N,03A-004.1N,25.003864,121.586039,03A0041N
S,05F-000.0S,25.03508889,121.6229306,05F0000S
S,05F-005.5S,24.99646667,121.6520583,05F0055S
S,05F-028.7S,24.84256944,121.7889667,05F0287S
S,05F-030.9S,24.82370556,121.7862139,05F0309S
S,05F-R11.3S,24.73394444,121.7819889,05FR113S
S,05F-043.9S,24.71102778,121.7894778,05F0439S
S,05F-049.4S,24.66258056,121.79985,05F0494S
N,05F-000.1N,25.03497222,121.6248611,05F0001N
N,05F-005.5N,24.99615556,121.6520972,05F0055N
N,05F-028.7N,24.84263889,121.7892861,05F0287N
N,05F-030.9N,24.82370556,121.7862139,05F0309N
N,05F-R14.3N,24.73391667,121.78235,05FR143N
N,05F-043.8N,24.71092222,121.7895972,05F0438N
N,05F-052.8N,24.63271667,121.8071667,05F0528N
